node_id	node_label	node_year	node_category	selected_qid	selected_label	selected_description	alternatives	confidence
floppy	Floppy Disk	1971	TECHNOLOGY	Q5293	floppy disk	removable disk storage medium	Q493576:floppy disk drive:computer peripheral or component | Q2289223:floppy disk format:logical and physical layout of data stored on floppy disk | Q105855246:Floppy Disk Manager disk image:file format | Q3724887:Floppy disk hardware emulator:	review
ethernet	Ethernet	1973	TECHNOLOGY	Q79984	Ethernet	family of wired computer networking technologies commonly used in local area networks (LAN), metropolitan area networks (MAN) and wide area networks (WAN)	Q128003:ethernet hub:device for connecting multiple Ethernet devices together and making them act as a single network segment | Q1069084:Gigabit Ethernet:standard for Ethernet networking at a data rate of 1 gigabit per second | Q54366:packet analyzer:computer network equipment or software that analyzes network traffic | Q4503:network switch:computer networking device that uses packet switching to forward data; one main component of the Internet infrastructure and of each computer network	auto
arpanet	ARPANET	1969	TECHNOLOGY	Q177524	ARPANET	early packet switching network (1969–1990)	Q21855051:ARPANet:Italian publisher | Q2863501:Arpanet:electronic musician | Q61774825:ARPANET Reference Model:communications system model used by ARPANET | Q16746502:Arpanet:episode of The Americans (S2 E7)	auto
x86	x86 Architecture	1978	TECHNOLOGY	Q272629	x86-64	64-bit version of x86 architecture	Q297868:x86 assembly language:assembly language used in x86 architecture | Q182933:x86:type of instruction set architecture | Q262238:IA-32:third generation of x86 architecture | Q3177837:x86 instruction listings:Wikimedia list article	review
gps	GPS	1978	TECHNOLOGY	Q1486497	GPS navigation device	device that determines its position by analyzing GPS satellite signals	Q253677:GPS tracking unit:navigation device that uses the Global Positioning System to track the device's movements and determine its geographic position | Q24780175:GPS motif:InterPro Domain | Q18822:Global Positioning System:American satellite-based radio navigation service | Q659739:Green Party of Switzerland:political party in Switzerland	review
optical_disc	Optical Disc	1982	TECHNOLOGY	Q234870	optical disc	flat and usually circular disc which encodes binary data, primarily used for physical data distribution and long-term archival	Q2164499:optical disc authoring software:computer program which is used to writing CD, DVD and similar optical media | Q4492:optical disc drive:disk drive that uses laser light or electromagnetic waves to read or write data | Q877050:optical disc image:archive file of an optical disc | Q1388383:optical disc authoring:the process of compiling content for publishing on optical discs	review
tcp_ip	TCP/IP	1983	TECHNOLOGY	Q1233025	TCP/IP model	conceptual model	Q1747834:TCP/IP stack fingerprinting:passive collection of configuration attributes from a remote device during standard layer 4 network communications | Q115922106:TCP/IP illustrated. Volume 1, The protocols (2012): | Q115930741:TCP/IP Foundations:Book | Q47302746:RFC 1180: TCP/IP tutorial:request for comments publication	review
arm_arch	ARM Architecture	1985	TECHNOLOGY	Q16980	ARM architecture	family of RISC-based computer architectures	Q2819365:ARM Architecture: | Q61631700:Arm Architecture And Systems:article by D. Jaggar et al published July 1997 in IEEE Micro | Q296782:Arm Holdings:British multinational semiconductor and software design company | Q399:Armenia:sovereign state in the South Caucasus region of Eurasia	review
cisco_router	Cisco Router	1986	TECHNOLOGY	Q23016713	Cisco routers		Q173395:Cisco:American multinational technology company | Q110280291:Cisco:family name | Q24088299:Cisco:name: given name, nickname, and surname | Q121627775:Cisco:male given name	review
foundry_model	Foundry Model	1987	TECHNOLOGY	Q1439882	foundry model	business model separating semiconductor fabrication from design		auto
nand	NAND Flash	1987	TECHNOLOGY	Q13405492	NAND flash	most common type of flash memory, based on NAND gates	Q118780424:NAND flash array defect real time detection:US patent 11437117 | Q98815646:NAND flash in negative delay stored testing and measuring system:article published in 2006 | Q113326071:NAND flash memory device with ground plane in buried oxide for reduced short channel effects and improved data retention:scientific article published on 12 January 2019 | Q174077:flash memory:electronic non-volatile computer storage device	auto
cdma	CDMA	1989	TECHNOLOGY	Q1023122	CDMA2000	family of 3G mobile technology standards for sending voice, data, and signaling data between mobile phones and cell sites	Q111728598:CDMA frequency bands:international Telecommunications Union-approved frequency bands for cdmaOne and CDMA2000 | Q47297688:RFC 3141: CDMA2000 Wireless Data Requirements for AAA:request for comments publication | Q233394:code division multiple access:channel access method for radio communication, allowing many transmitters to send information over one channel using spread spectrum technology and a special coding scheme; used in GPS, cdmaOne, CDMA2000, UMTS etc | Q845349:2G:term used to represent the 2nd generation of mobile telecommunications technology	auto
gsm	GSM	1991	TECHNOLOGY	Q47141541	GSMArena.com	website; phone database	Q46904:Global System for Mobile Communications:standard to describe protocols for second generation digital cellular networks used by mobile phones | Q17884:LGBTQ:lesbian, gay, bisexual, transgender and queer or questioning persons as a group | Q5592049:Graduate Studies in Mathematics:graduate-level textbooks in mathematics | Q17486606:Oluwaseyi Abiodun Makinde:Nigerian politician	auto
li_ion	Li-ion Battery	1991	TECHNOLOGY	Q124161444	Li-ion battery having improved safety against combustion	US patent 11374276	Q55892643:Li-ion battery materials: present and future: | Q39434931:Li-ion Battery Separators, Mechanical Integrity and Failure Mechanisms Leading to Soft and Hard Internal Shorts:scientific article | Q59945949:Li-ion battery separator membranes based on barium titanate and poly(vinylidene fluoride-co-trifluoroethylene): Filler size and concentration effects: | Q86854095:Li-ion battery shut-off at high temperature caused by polymer phase separation in responsive electrolytes:scientific article published on 01 March 2015	review
mp3	MP3	1993	TECHNOLOGY	Q42591	MP3	open standard lossy compression format for digital audio	Q1951383:Mp3tag:Tag editor for Microsoft Windows and Apple macOS | Q57234772:MP3: The Meaning of a Format:book published in 2012 | Q2703936:MP3:2008 album by M. Pokora | Q6717203:MP3:2004 album of Marcy Playground	auto
cmos	CMOS Sensor	1993	TECHNOLOGY	Q119850456	CMOS sensors and methods of forming the same	US patent 11177308	Q122874194:CMOS sensor architecture for temporal dithered sampling:US patent 11323643 | Q56960013:CMOS sensors for on-line thermal monitoring of VLSI circuits:article | Q58059218:CMOS sensor array for bi-directional communication with electrically active cells:scholarly article published March 2009 | Q58820932:CMOS sensors in 90nm fabricated on high resistivity wafers: Design concept and irradiation results:	review
blue_led	Blue LED	1994	TECHNOLOGY	Q48817511	Blue Ledge Mine	Mining	Q49708314:Blue Ledge Spring:spring in Cochise County, Arizona, United States of America | Q49467692:Blue Ledge:cliff in Addison County, Vermont, United States | Q49172297:Blue Ledge: | Q22577913:Blue Ledge Pool:watercourse in Canada	review
bluetooth	Bluetooth	1994	TECHNOLOGY	Q39531	Bluetooth	short-distance wireless communication protocol	Q123762407:Bluetooth:vocal track by 9ice; 2009 studio recording | Q66498653:Bluetooth:2055th strip of the webcomic xkcd | Q886092:Bluetooth profile:standardized usage of Bluetooth short-range radio communications | Q65434343:Bluetooth 5:5th version of Bluetooth	review
ssl_tls	SSL/TLS	1995	TECHNOLOGY	Q115061898	SSL/TLS session-aware user authentication revisited	scientific article published in 2008	Q115032078:SSL/TLS Protocol Enablement for Key Recovery:scientific article published in 2000 | Q206494:Transport Layer Security:cryptographic protocols for securing data in transit | Q131763977:TLS certificate:certificate used in HTTPS or TLS, successor to SSL certificate	review
wifi	WiFi	1997	TECHNOLOGY	Q51700690	Wifisfuneral	American rapper	Q29643:Wi-Fi:family of wireless network protocols | Q1193354:IEEE 802.11n:wireless networking standard in the 802.11 family, adopted in 2009 | Q24534575:IEEE 802.11ax:IEEE standard for wireless networking (adopted in 2019) | Q1188495:IEEE 802.11ac:wireless networking standard in the 802.11 family, adopted 2013	review
gpu_geforce	GPU (GeForce)	1999	TECHNOLOGY	Q825762	GeForce	brand of graphics processing units by NVIDIA	Q28133964:GeForce Now:Nvidia's cloud-based game streaming service | Q114062792:GeForce RTX 4080:graphics card | Q116004030:GeForce RTX 4070 Ti:graphics card by Nvidia | Q1028816:GeForce 256:series of GPUs	none
arm_cortex	ARM Cortex	2004	TECHNOLOGY	Q2819366	ARM Cortex-A	family of microprocessor cores with ARM microarchitecture	Q1997451:ARM Cortex-A9:32-bit multicore processor developed by SR1 | Q23045352:ARM Cortex-A53:microarchitecture implementing the ARMv8-A 64-bit instruction set designed by ARM Holdings | Q2819372:ARM Cortex-A7:microprocessor core developed by Arm Holdings, supporting 1-4 cores | Q4653852:ARM Cortex-A8:processor core developed by Arm Holdings	review
lidar	LiDAR	2005	TECHNOLOGY	Q504027	lidar	remote detection instrumentation	Q11756536:Lidar:TV program | Q58114456:Lidar Sapir-Hen:researcher, ORCID id # 0000-0002-6184-4560 | Q124464329:Lidarti:family name | Q130732075:LIDAR.EXE:	review
lte	LTE (4G)	2009	TECHNOLOGY	Q79697	4G	fourth generation of cellular communications standards	Q79703:Long Term Evolution:wireless communication standards | Q104699576:Lteif:family name | Q105972887:Solute carrier family 12 member 2:protein found in Danio rerio | Q1188543:fourth-generation fighter:classification of fighter aircraft | designed - without airframe modification - to perform different roles in combat, typically blending the fighter, strike and ground-attack roles | c.1970-2000	review
alexnet	AlexNet	2012	TECHNOLOGY	Q28325009	AlexNet	type of convolutional neural network	Q113272780:AlexNet, AdaBoost and Artificial Bee Colony Based Hybrid Model for Electricity Theft Detection in Smart Grids:scientific article published on 08 February 2022 | Q126176231:AlexNet architecture based convolutional neural network for toxic comments classification:scientific article published in 2022	auto
hbm	HBM	2013	TECHNOLOGY	Q3125397	HBM		Q19604421:Historic England:executive non-departmental public body of the British Government, tasked with protecting the historical environment of England | Q24778517:Helical bimodular sensor domain:InterPro Domain | Q19974136:Hollandsche Beton Maatschappij:former Dutch construction company | Q21103345:Hemoglobin subunit mu:mammalian protein coded in the genes of Homo sapiens but not yet identified	auto
word2vec	Word2Vec	2013	TECHNOLOGY	Q22673982	Word2vec	group of related models that are used to produce word embeddings	Q113506666:Word2Vec:scientific article published on 16 December 2016 | Q47450549:word2vec Explained: deriving Mikolov et al.'s negative-sampling word-embedding method:scientific article published on 15 February 2014 | Q111690536:Word2vec-based latent semantic analysis (W2V-LSA) for topic modeling: A study on blockchain technology trend analysis:journal article from 'Expert Systems with Applications' published in 2020 | Q38371817:Word2Vec inversion and traditional text classifiers for phenotyping lupus.:scientific article	review
gan	GAN	2014	TECHNOLOGY	Q859063	Gan	commune in Pyrénées-Atlantiques, France	Q27720158:Gan:scientific journal | Q109845535:Gan:family name | Q109846281:Gan:given name | Q33475:Gan Chinese:member of the Sinitic languages of the Sino-Tibetan language family spoken as the native language by the people in the Jiangxi province of China	review
tpu	Google TPU	2015	TECHNOLOGY	Q79576	Google Play	digital software distribution platform from Google	Q25106376:Tensor Processing Unit:Google-developed coprocessor for accelerating neural networks | Q95:Google:American multinational technology company, a subsidiary of Alphabet Inc. | Q9366:Google Search:search engine by Google LLC | Q42274:Google Earth:virtual map program developed by Google	review
transformer	Transformer	2017	TECHNOLOGY	Q11658	transformer	electrical device that transfers energy through electromagnetic induction from one circuit to another circuit	Q85810444:transformer:machine-learning model architecture first developed by Google Brain | Q11321874:transformer:fictional shapeshifting alien robots | Q65078488:Transformer:2017 film by Michael Del Monte | Q1323565:Transformers:Japanese–American media franchise	review
5g_nr	5G (New Radio)	2019	TECHNOLOGY	Q1363408	5G	5th generation of cellular mobile communications	Q56290343:5G Automotive Association:global, cross-industry organisation of companies from the automotive and telecommunications industries working together to develop end-to-end solutions for future mobility. | Q62029351:5G NR:radio access technology | Q89586589:New radiocarbon dates for iron-working sites on Exmoor:newsletter article published in 2000 | Q7011122:New Radio and Performing Arts:American nonprofit organization	review
euv	EUV Lithography	2019	TECHNOLOGY	Q126802250	EUV Lithography Technology for High-volume Production of Semiconductor Devices	scholarly article	Q62593032:EUV lithography imaging using novel pellicle membranes: | Q127570209:EUV Lithography: State-of-the-Art Review:scholarly article | Q781078:Euville:commune in Meuse, France | Q1002652:Euvezin:commune in Meurthe-et-Moselle, France	review
stable_diffusion	Stable Diffusion	2022	TECHNOLOGY	Q113660857	Stable Diffusion	image-generating machine learning model	Q124789431:Stable Diffusion image seeds:parameter of stable diffusion | Q137259835:Stable Diffusion in the Classroom: Deploying interactive GPU-enabled ML workloads with Open OnDemand and Kubernetes:	auto
nvidia_h100	NVIDIA H100	2022	TECHNOLOGY	Q125348558	NVIDIA H100	series of NVIDIA graphics cards with Hopper architecture for data centers, enterprises and research institutions	Q124337768:Nvidia H100 SXM:Hopper architecture datacenter graphics card	auto
unix	Unix	1969	TECHNOLOGY	Q11368	Unix	family of computer operating systems that derive from the original AT&T Unix from 1969	Q117454150:Unix:Russian progamer | Q14656:Unix-like operating system:operating system that behaves in a manner similar to a Unix system | Q105989562:UNIX 03:Version 3 of the Single UNIX Specification | Q1148628:UnixWare:proprietary Unix-like operating system	auto
c_lang	C Language	1972	TECHNOLOGY	Q130960041	C language mechanism for error handling and deferred cleanup	scientific article published on 23 April 2021	Q126816691:C language algorithms for digital signal processing:scholarly article | Q10729459:Portal:Computer programming:Wikimedia portal | Q98800788:C-Language Programme Research of Cymometer:article published in 2002 | Q128712246:C-LANGUAGE INSTRUCTIONAL TOOL: A MOBILE – ASSISTED SYSTEM FOR TRIMEX STUDENTS:scholarly article	review
sql	SQL	1974	TECHNOLOGY	Q47607	SQL	relational database language that allows to extract from data tables a series of records with selection, sorting and computation criteria, or to update, delete or add records	Q1092514:SQLAlchemy:free software SQL toolkit and object-relational mapper | Q319417:SQLite:serverless relational database management system (RDBMS) | Q47526254:sqlitebrowser:grafical userinterface for SQLite-Databases | Q215819:Microsoft SQL Server:family of database software by Microsoft	review
oracle_db	Oracle Database	1979	TECHNOLOGY	Q185524	Oracle Database	proprietary database management system	Q29167830:Oracle database error messages:type of error message produced by Oracle database software | Q26437874:Oracle Database/Print version:Print version of the Oracle Database wikibook | Q28600250:Oracle database backup format:file format | Q9353810:Oracle Database Trace File:file format	auto
www	World Wide Web	1989	TECHNOLOGY	Q466	World Wide Web	global system of interlinked hypertext documents accessed via the Internet	Q2352680:World Wide Web:journal | Q119940732:World Wide Web:1997 single by Nick Borgen & Surfarna | Q109593343:World Wide Web:1997 Melodifestivalen entry performed by Nick Borgen | Q37033:World Wide Web Consortium:main international standards organization for the World Wide Web	review
linux	Linux Kernel	1991	TECHNOLOGY	Q6555099	Linux kernel mailing list	mailing list for software developers working on the Linux kernel	Q70589944:Linux kernel module:loadable kernel module for the Linux kernel | Q732593:Linux kernel oops:type of error on the Linux kernel | Q6555064:Linux Kernel API:overview and comparison of the Linux kernel API's and ABI's | Q75699628:Linux kernel version history:version history of the Linux kernel	review
python	Python	1991	TECHNOLOGY	Q28865	Python	general-purpose programming language	Q76417859:Python:family name | Q2120075:Python:German ship | Q29642950:Python package:software library for the Python programming language | Q184018:pythons:family of snakes	review
windows_95	Windows 95	1995	TECHNOLOGY	Q83370	Windows 95	personal computer operating system by Microsoft	Q132204073:Windows 95:creative work by Loss Pequeño Glazier | Q113653069:Windows 95 Help: tvorba nápovědy ve Windows 95:1996 Czech book edition | Q2403431:Windows 95 OSR2:Updated version of Windows 95. | Q105866192:Windows 95 passwords:file format	review
java	Java	1995	TECHNOLOGY	Q251	Java	object-oriented programming language	Q3757:Java:island of Indonesia | Q37270782:Java:family name | Q879704:Javanese script:writing system used for Javanic languages | Q193321:Java virtual machine:runtime environment that can execute Java bytecode as a result of compiling computer programs written in the Java programming language	review
javascript	JavaScript	1995	TECHNOLOGY	Q2005	JavaScript	high-level programming language	Q24789150:JavaScript framework:type of library that helps structure other JavaScript software | Q783866:JavaScript library:library of JavaScript code that allows for easier development of JavaScript-based applications | Q591919:JavaScript engine:JavaScript engine/implmentation | Q55142776:JavaScript date method:method of JavaScript dates	auto
unreal	Unreal Engine	1998	TECHNOLOGY	Q13156650	Unreal Engine 2	second version of Unreal Engine developed by Epic Games	Q84583653:Unreal Engine 1:game engine developed by Epic MegaGames | Q65559773:Unreal Engine 2.5:version of the Unreal Engine game engine combining elements from UE1 and UE2 | Q13156651:Unreal Engine 3:third version of Unreal Engine developed by Epic Games | Q105856666:Unreal Engine Project:file format	review
bittorrent	BitTorrent	2001	TECHNOLOGY	Q133862	BitTorrent	peer-to-peer file sharing protocol	Q878713:BitTorrent:peer-to-peer program for uploading and downloading files via the BitTorrent protocol | Q21577192:BitTorrent client:peer-to-peer software for the BitTorrent protocol | Q2021268:BitTorrent tracker:server which keeps records of seeds and peers of torrent files | Q4217103:BitTorrent index:list of .torrent files available for searches	review
mapreduce	MapReduce	2004	TECHNOLOGY	Q567759	MapReduce	programming model for efficient queries over huge datasets, introduced by Google	Q59795688:MapReduce:scholarly article from January 2010 | Q131122680:MapReduce:scientific article published on 16 December 2014 | Q59795724:MapReduce: Simplified Data Processing on Large Clusters:article by Jeff Dean & Sanjay Ghemawat published 1 January 2008 in Communications of the ACM | Q118135267:Mapreduce implementation in an on-demand network code execution system and stream data processing system:US patent 11243953	review
git	Git	2005	TECHNOLOGY	Q186055	Git	distributed version control system	Q53755957:Git Wire Protocol:communications protocol which is used by git revision control software | Q364:GitHub:hosting service for software projects using Git | Q720843:Gitega Province:province of Burundi | Q97460957:Gitweb:Git web interface bundled with Git	auto
unity	Unity	2005	TECHNOLOGY	Q63966	Unity	cross-platform game engine	Q98777313:Unity:female given name | Q319965:Unity:state in South Sudan | Q7893750:Unity:2004 video game | Q1941944:Unity:1991 studio album by 311	review
aws_cloud	AWS Cloud	2006	TECHNOLOGY	Q117390959	AWS Cloud Development Kit	open-source software development framework developed by Amazon Web Services	Q117272797:AWS CloudFormation:computing service | Q137536067:AWS Cloud Practitioner:Skillmea online course | Q129786782:AWS Cloud based Failover Load Balancing Mechanism and Availability Assessment:scholarly article | Q456157:Amazon Web Services:subsidiary of Amazon that provides on-demand cloud computing platforms on a metered pay-as-you-go basis	review
cuda	CUDA	2007	TECHNOLOGY	Q477690	CUDA	parallel computing platform and programming model	Q56244151:Cuda:family name | Q21502210:Cudahy:family name | Q37031657:Cudak:family name | Q58043238:Cuda (Pauly-Wissowa):encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE)	review
ios	iOS	2007	TECHNOLOGY	Q48493	iOS	mobile operating system by Apple Inc.	Q216993:Ios:Greek island | Q17501872:Iosif:male given name | Q5972920:IOS Press:publisher | Q18062828:Iosephus:male given name	review
android	Android	2008	TECHNOLOGY	Q94	Android	operating system created by Google for use on mobile devices	Q181787:android:robot resembling a human, or in other uses specifically a human | Q85684089:Android 11:11th major release of the Android mobile operating system | Q17305518:Android Lollipop:version of the Android operating system | Q2846924:Android Jelly Bean:mobile operating system	review
zero_trust	Zero Trust	2010	TECHNOLOGY	Q104852562	zero trust architecture	design and implementation strategy of IT systems where users and devices should not be trusted by default, even if they are connected to a privileged network such as a corporate LAN and even if they were previously verified	Q133822127:zero trust model:security model where no one is automatically trusted even if they are inside the security perimeter or was previously verified | Q130017022:Zero Trust Architecture:NIST Special Publication | Q120908205:Zero trust for edge devices:US patent 11516199 | Q130953381:Zero Trust Network Intrusion Detection System (NIDS) using Auto Encoder for Attention-based CNN-BiLSTM:scientific article published on 13 March 2023	review
docker	Docker	2013	TECHNOLOGY	Q15206305	Docker	open-source software for deploying and running of containerized applications	Q16869593:Docker:family name | Q107380740:docker:Python library | Q21892650:Docker, Inc.:company behind the development of Docker software | Q37494826:Dockery:family name	review
tensorflow	TensorFlow	2015	TECHNOLOGY	Q21447895	TensorFlow	machine learning software framework	Q107382156:tensorflow-metadata:Python library | Q107381458:tensorflow-estimator:Python library | Q107382184:tensorflow-datasets:Python library | Q107384101:tensorflow-probability:Python library	auto
pytorch	PyTorch	2016	TECHNOLOGY	Q47509047	PyTorch	open source machine learning library for Python, based on Torch	Q107387030:pytorch:dummy Python library | Q133097076:PyTorch Geometric:PyG Python library | Q85847011:PyTorch Lightning:wrapper for PyTorch | Q107382236:pytorch-nlp:Python library	review
walkman	Sony Walkman	1979	TECHNOLOGY	Q7562556	Sony Walkman Z Series		Q18379425:Sony Walkman WM-DD Series:line of portable audio players by Sony | Q15298306:Sony Walkman TPS-L2:the first Sony Walkman personal cassette player, based on earlier TCM-600 dictation recorder | Q131549103:Sony Walkman WM-2013:walkman by Sony | Q124936252:Sony Walkman NWZ-ZX1:portable music player	review
macintosh	Macintosh	1984	TECHNOLOGY	Q28339766	MacIntosh	family name	Q87761437:Macintosh:family name | Q87761495:Macintosh:given name | Q756013:Macintosh Classic:personal computer by Apple, Inc. | Q13522376:Classic Mac OS:Apple Macintosh’s original operating system (1984–2002)	review
toshiba_t1100	Toshiba T1100	1985	TECHNOLOGY	Q3892868	Toshiba T1100	laptop computer		auto
excel	Microsoft Excel	1985	TECHNOLOGY	Q11272	Microsoft Excel	spreadsheet editor, part of Microsoft 365	Q137535822:Microsoft Excel:Skillmea online course | Q60806257:Microsoft Excel 4.0 Worksheet (xls):file format | Q60886323:Microsoft Excel 2000-2003 Workbook:file format | Q60886160:Microsoft Excel 97 Workbook:file format	review
photoshop	Adobe Photoshop	1990	TECHNOLOGY	Q129793	Adobe Photoshop	raster graphics editor with limited vector graphics and 3D graphics editing capabilities	Q360403:Adobe Photoshop Lightroom:photo editing and management computer program | Q26879929:Adobe Photoshop File Formats Specification, August 2016 edition:technical specification of file formats associated with Adobe Photoshop | Q360363:Adobe Photoshop Express:software | Q360357:Adobe Photoshop Elements:raster image editing product	review
mosaic	Mosaic Browser	1993	TECHNOLOGY	Q133067	mosaic	image or writing made from an assemblage of small pieces of colored glass, stone, or other materials	Q381047:Mosaic:popular early web browser	none
netscape	Netscape Navigator	1994	TECHNOLOGY	Q235419	Netscape Navigator	web browser by Netscape released in 1994	Q52008314:Netscape navigator: surfing the web and exploring the Internet:digital supplement to a book published in 1995 | Q3273413:Netscape Navigator 9:last version of the classic web browser, essentially rebranded Firefox | Q33129632:Netscape Navigator 3.0:version 3.0 of the Netscape Navigator web browser | Q31830878:Netscape Navigator 2.02:Version 2.02 of the discontinued proprietary web browser Netscape Navigator, the original Netscape browser series.	auto
amazon_com	Amazon.com	1994	TECHNOLOGY	Q124609769	Amazon.com	e-commerce platform	Q133848906:Amazon.com, Inc.:company incorporated in Delaware | Q133848921:Amazon.com, Inc.: | Q33600242:Amazon.com, Inc. 2016 Annual Report:annual report | Q115518770:Amazon.com, Inc. v. Barnesandnoble.com, Inc.:2001 U.S. Federal Court Case	auto
netflix	Netflix	1997	TECHNOLOGY	Q907311	Netflix	American subscription video on-demand over-the-top streaming service	Q63523678:Netflix:2019 single by Lazza | Q116452644:Netflix, Inc.:American media company | Q104414180:Netflix Animation:American animation studio | Q123514898:Netflix Music:US record label	review
google_search	Google Search	1998	TECHNOLOGY	Q9366	Google Search	search engine by Google LLC	Q3306623:Google Search Appliance:rack-mounted device | Q328216:Google Search Console:internet service by Google | Q5583876:Google Searchology: | Q5583908:Google search features:	review
paypal	PayPal	1998	TECHNOLOGY	Q483959	PayPal	American worldwide online payments system	Q135683185:PayPal:US financial services company | Q136653753:PayPal:Nigerian music by Zlatan -(feat. Mayorkun) | Q7156556:PayPal Mafia:term used to indicate a group of former PayPal employees and founders who have since founded and developed additional technology companies | Q135683211:PayPal Holdings:US holding company	review
salesforce_crm	Salesforce CRM	1999	TECHNOLOGY	Q941127	Salesforce	American cloud-based software company	Q115602131:Salesforce:Suite of cloud-based applications, including CRM, sales, artificial intelligence, analytics, and API software. | Q110262554:Salesforce:Dedicated Stack Exchange community site for Salesforce administrators, implementation experts, developers, and customers. | Q5419210:Salesforce Marketing Cloud:Cloud-based marketing and advertising tools developed by Salesforce	review
wikipedia	Wikipedia	2001	TECHNOLOGY	Q52	Wikipedia	free multilingual online encyclopedia	Q4390943:Wikipedia:Wikimedia's official app for Wikipedia | Q328:English Wikipedia:[en] English-language edition of Wikipedia | Q48183:German Wikipedia:German-language edition of Wikipedia | Q8447:French Wikipedia:[fr] French-language edition of Wikipedia	review
skype	Skype	2003	TECHNOLOGY	Q40984	Skype	former telecommunications software service	Q2751766:Skype protocol:app's proprietary Voice Over IP network | Q246125:Skype Technologies:subsidiary of Microsoft, which is developing Skype | Q1416838:Skype for Business:instant messaging client | Q125624792:Skypet Saingthong:badminton player	auto
